Columns,Slope
501,1.8352029563352063e-09
1002,1.850114962539581e-09
1503,1.8060335613839285e-09
2004,1.8269724526498757e-09
2505,1.8174322487668597e-09
3006,1.8178069068210579e-09
3507,1.8186257858071327e-09
4008,1.8220053351389984e-09
4509,1.8196877921205931e-09
5010,1.8262715528950982e-09
5511,1.8241586466096952e-09
6012,1.8248476558052166e-09
6513,1.8277884555213759e-09
7014,1.8233027382766895e-09
7515,1.8304430777158257e-09
8016,1.8230715512942087e-09
8517,1.8310894586636587e-09
9018,1.8258558192412087e-09
9519,1.8371078024695506e-09
