Round,Training Time,Iterations
0,397.51,5069
1,401.35,5069
2,402.6,5068
3,402.64,5069
4,401.93,5068
5,399.13,5068
6,400.83,5069
7,401.1,5068
8,401.31,5068
9,401.25,5069
10,401.1,5069
11,401.81,5069
12,401.83,5069
13,401.2,5069
14,401.58,5069
15,401.29,5069
16,401.81,5069
17,401.46,5069
18,401.17,5068
19,401.32,5069
20,401.98,5069
21,400.85,5068
22,400.77,5069
23,401.96,5070
24,401.81,5070
25,401.8,5068
26,401.44,5069
27,401.11,5069
28,401.25,5068
29,401.13,5068
30,401.2,5068
31,400.99,5068
32,401.45,5069
33,401.16,5068
34,401.33,5069
35,401.39,5069
36,398.78,5069
37,401.33,5069
38,400.33,5069
39,400.88,5068
40,400.22,5068
41,400.73,5068
42,400.35,5069
43,399.98,5070
44,399.73,5068
45,399.69,5069
46,400.8,5068
47,399.71,5069
48,399.96,5068
49,399.72,5069
50,400.57,5068
51,399.64,5069
52,399.62,5069
53,399.46,5069
54,399.78,5070
55,399.65,5069
56,399.41,5069
57,399.9,5070
58,400.0,5069
59,400.15,5069
60,399.57,5068
61,399.95,5070
62,399.95,5069
63,399.82,5068
64,399.78,5069
65,399.48,5069
66,399.33,5068
67,399.19,5069
68,400.02,5069
69,399.87,5069
70,399.05,5068
71,399.15,5069
72,399.76,5068
73,399.76,5069
74,399.12,5068
75,398.53,5069
76,398.89,5068
77,399.44,5069
78,399.21,5069
79,399.47,5068
80,398.8,5069
81,398.32,5069
82,398.2,5069
83,398.24,5068
84,399.26,5069
85,400.95,5069
86,399.02,5068
87,398.49,5069
88,399.53,5069
89,399.4,5069
90,399.54,5069
91,399.2,5069
92,399.52,5069
93,398.73,5069
94,398.72,5068
95,398.74,5068
96,398.99,5069
97,398.83,5068
98,399.08,5069
99,398.51,5069
